date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,error_rate,qubits,code_cycles
2024-03-24 00:03,128,1e-05,3,3,3,3,3,3,1.8732496044115976e-05,534,270.0882375381635
2024-03-24 00:03,128,1e-05,3,3,3,3,3,5,2.4098908390612905e-05,622,270.07610258199037
2024-03-24 00:03,128,1e-05,3,3,3,3,3,7,3.039859166531489e-05,742,270.07608385084626
2024-03-24 00:03,128,1e-05,3,3,3,3,3,9,3.763147751789653e-05,894,270.07608382524074
2024-03-24 00:03,128,1e-05,3,3,3,3,3,11,4.850847150372761e-05,1078,330.06187929842304
2024-03-24 00:03,128,1e-05,3,3,3,3,5,3,2.1532408060132013e-05,630,270.0814958086528
2024-03-24 00:03,128,1e-05,3,3,3,3,5,5,2.8765339794567524e-05,718,270.0686458846158
2024-03-24 00:03,128,1e-05,3,3,3,3,5,7,3.6931517477190035e-05,838,270.0686267248593
2024-03-24 00:03,128,1e-05,3,3,3,3,5,9,4.603083804277652e-05,990,270.0686266989481
2024-03-24 00:03,128,1e-05,3,3,3,3,5,11,5.877412701682516e-05,1174,330.05074199856074
2024-03-24 00:03,128,1e-05,3,3,3,3,3,3,1.8732496044115976e-05,534,270.0882375381635
2024-03-24 00:03,128,1e-05,3,3,3,3,3,5,2.4098908390612905e-05,622,270.07610258199037
2024-03-24 00:03,128,1e-05,3,3,3,3,3,7,3.039859166531489e-05,742,270.07608385084626
2024-03-24 00:03,128,1e-05,3,3,3,3,3,9,3.763147751789653e-05,894,270.07608382524074
2024-03-24 00:03,128,1e-05,3,3,3,3,3,11,4.850847150372761e-05,1078,330.06187929842304
2024-03-24 00:03,128,1e-05,3,3,3,3,5,3,2.1532408060132013e-05,630,270.0814958086528
2024-03-24 00:03,128,1e-05,3,3,3,3,5,5,2.8765339794567524e-05,718,270.0686458846158
2024-03-24 00:03,128,1e-05,3,3,3,3,5,7,3.6931517477190035e-05,838,270.0686267248593
2024-03-24 00:03,128,1e-05,3,3,3,3,5,9,4.603083804277652e-05,990,270.0686266989481
2024-03-24 00:03,128,1e-05,3,3,3,3,5,11,5.877412701682516e-05,1174,330.05074199856074
